WKT,id,codcen,dlibre,cod_generica,dgenerica_cas,dgenerica_val,despecifica,regimen,cif_centro,titular,direccion,codpos,telef,fax,mail,web,cod_ine_mun,noms_mun,localidad_oficial,comarca,provincia,latitud,longitud,cod_estado,desc_estado,tiene_ip,cod_aplicacion,desc_aplicacion
POINT (717491.286864391 4248111.29997829),1164,3021865,CENTRE PRIV. ED. INF. 1er CICLE GRAN VIA PAU I,1687,CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,GRAN VIA PAU I,PRIVADO,48721917M,"PARRA APARICIO, IKER","CL. MÉDICO ANTONIO ARROYO, 2",3113,685858757,0,escuelainfantilgranvia@gmail.com,https://escuelainfantilgranvia.es/gv_pau/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.354771,-0.510945,A,ALTA,N,2,CENTROS
POINT (700045.206038042 4239393.04810261),1165,3021889,CENTRE PRIVAT FP MEDAC ELCHE,1058,CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,MEDAC ELCHE,PRIVADO,B93385680,CENTRO DE FORMACIÓN PROFESIONAL EN EL DEPORTE Y LA,"CL. ILLUECA, 1",3206,865616366,0,alicante.elche@medac.es,https://medac.es/fp-elche,3065,Elx/Elche,Elx,el Baix Vinalopó,Alacant/Alicante,38.280329,-0.71292,A,ALTA,N,2,CENTROS
POINT (703861.974995472 4239114.0376265),1166,3021907,CENTRE PRIV. ED. INF. 1er CICLE EL MON DEL XIQUET,1687,CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,EL MON DEL XIQUET,PRIVADO,78011045J,YVETTE ENDENE KOFFI,"CL. JOSÉ CAÑIZARES, 29",3202,695 34 75 8,0,info@elmondelxiquet.es,https://www.elmondelxiquet.es/,3065,Elx/Elche,Elx,el Baix Vinalopó,Alacant/Alicante,38.276958,-0.669397,A,ALTA,N,2,CENTROS
POINT (749380.579770136 4277689.96026885),1167,3021919,EI 1er CICLE PONOIG,1686,ESCUELA INFANTIL DE PRIMER CICLO,ESCOLA INFANTIL DE PRIMER CICLE,PONOIG,PÚBLICO,S0300147F,GENERALITAT VALENCIANA,"CL. DE LA TEULERIA, 4",3520,0,0,03021919@edu.gva.es,0,3107,Polop,Polop,la Marina Baixa,Alacant/Alicante,38.612695,-0.135859,A,ALTA,,2,CENTROS
POINT (759848.48085605 4291607.50018634),1168,3021920,SECCIÓ DE L'IES JOSEP IBORRA A XALÓ,1047,SECCIÓN DE EDUCACIÓN SECUNDARIA,SECCIÓ D'EDUCACIÓ SECUNDÀRIA,DE L'IES JOSEP IBORRA A XALÓ,PÚBLICO,S0300148D,GENERALITAT VALENCIANA,"CM. CEMENTERI, 12",3727,965739028,0,03021920@edu.gva.es,0,3081,Xaló,Xaló,la Marina Alta,Alacant/Alicante,38.734944,-0.010574,A,ALTA,N,2,CENTROS
POINT (699545.42698013 4238661.23372902),1169,3021956,CENTRE PRIV. ED. INF. 1er CICLE ARIADNA PARRES,1687,CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,ARIADNA PARRES,PRIVADO,B72654221,"DOBLEA KIDS, SL","AV. PROFESOR TIERNO GALVAN, 7",3206,692959172,0,ariadnaparres@hotmail.com,0,3065,Elx/Elche,Elx,el Baix Vinalopó,Alacant/Alicante,38.27385,-0.718836,A,ALTA,N,2,CENTROS
POINT (702749.641044339 4207786.14967241),1170,3021971,CEIP NÚMERO 15,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,NÚMERO 15,PÚBLICO,,GENERALITAT VALENCIANA,"AV. DE LOS NENÚFARES, DE LA TORRETA II",3187,966545092,0,03021971@edu.gva.es,0,3133,Torrevieja,Torrevieja,el Baix Segura/La Vega Baja,Alacant/Alicante,37.995092,-0.691015,A,ALTA,S,2,CENTROS
POINT (719074.498705917 4246646.56199295),1171,3021993,CENTRE ESTRANGER LEVEL PROFESSIONAL,1094,CENTRO DOCENTE PRIVADO EXTRANJERO,CENTRE DOCENT PRIVAT ESTRANGER,LEVEL PROFESSIONAL,PRIVADO,B67847491,LEVEL PROFESSIONAL ALICANTE SL,"CL. REYES CATÓLICOS, 48",3003,965274537,0,info@levelprofessionalalc.com,https://levelprofessionalalc.com/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.341197,-0.493297,A,ALTA,N,2,CENTROS
POINT (720366.109667769 4249559.47909258),1172,3022006,CEIP NÚMERO 56,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,NÚMERO 56,PÚBLICO,,GENERALITAT VALENCIANA,"CL. POLOP, 15",3015,0,0,03022006@edu.gva.es,0,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.367107,-0.477621,A,ALTA,,2,CENTROS
POINT (750133.956559238 4270749.47306146),1173,3022018,CENTRE ESTRANGER OAKWOOD BRITISH SCHOOL,1094,CENTRO DOCENTE PRIVADO EXTRANJERO,CENTRE DOCENT PRIVAT ESTRANGER,OAKWOOD BRITISH SCHOOL,PRIVADO,B44763266,"OAKWOOD BRITISH SCHOOL, SLU","PD. ELS TOLLS, 19",3502,622238174,0,info@oakwoodprimary.net,https://www.oakwoodprimary.net/,3031,Benidorm,Benidorm,la Marina Baixa,Alacant/Alicante,38.550014,-0.129706,A,ALTA,N,2,CENTROS
POINT (740900.311550164 4455419.82732457),1174,12000030,EL CASTELL,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,EL CASTELL,PÚBLICO,Q6255001G,GENERALITAT VALENCIANA,"CL. MOSSÉN RICARDO, 11",12132,964738250,0,12000030@edu.gva.es,0,12001,Atzeneta del Maestrat,Atzeneta Del Maestrat,l'Alt Maestrat,Castelló/Castellón,40.214596,-0.169133,L,AULARIO,S,2,CENTROS
POINT (757122.205952997 4471815.54728689),1175,12000091,CEIP JOAN DE BRUSCA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JOAN DE BRUSCA,PÚBLICO,Q6255002E,GENERALITAT VALENCIANA,"AV. JAUME I, 33",12140,964336045,0,12000091@edu.gva.es,0,12003,Albocàsser,Albocàsser,l'Alt Maestrat,Castelló/Castellón,40.357288,0.027831,A,ALTA,S,2,CENTROS
POINT (773901.555741415 4466306.00773388),1176,12000121,CEIP LO CAMPANAR,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,LO CAMPANAR,PÚBLICO,Q6255155A,GENERALITAT VALENCIANA,"CL. FRANCESC SOSPEDRA, 4-A",12570,964336050,0,12000121@edu.gva.es,0,12004,Alcalà de Xivert,Alcalà De Xivert,el Baix Maestrat,Castelló/Castellón,40.302391,0.222774,A,ALTA,S,2,CENTROS
POINT (737353.022142213 4439683.17036369),1177,12000133,CEIP FRANCISCO GRANGEL MASCARÓS,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,FRANCISCO GRANGEL MASCARÓS,PÚBLICO,Q6255005H,GENERALITAT VALENCIANA,"CL. SANT AGUSTÍ, 2",12110,964738255,0,12000133@edu.gva.es,https://portal.edu.gva.es/12000133/,12005,l'Alcora,Alcora (L'),l'Alcalatén,Castelló/Castellón,40.073995,-0.216561,A,ALTA,S,2,CENTROS
POINT (737457.606826805 4440056.37367043),1178,12000145,CEIP COMTE D'ARANDA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,COMTE D'ARANDA,PÚBLICO,Q6255004A,GENERALITAT VALENCIANA,"CL. CALVARI, S/N",12110,964738305,0,12000145@edu.gva.es,https://portal.edu.gva.es/12000145,12005,l'Alcora,Alcora (L'),l'Alcalatén,Castelló/Castellón,40.077324,-0.215199,A,ALTA,S,2,CENTROS
POINT (737727.257983913 4439751.89936911),1179,12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",PUÉRTOLAS PARDO,CONCERTADO,G12046900,ASO.CATÓLICA PP Y MM ALUMNOS COLEGIO PUÉRTOLAS PARD,"GL. GLORIETA STA. MARÍA ROSA MOLAS, 1",12110,964360083,964360095,direccion@puertolaspardo.org,http://www.puertolaspardo.org,12005,l'Alcora,Alcora (L'),l'Alcalatén,Castelló/Castellón,40.074508,-0.212152,A,ALTA,N,2,CENTROS
POINT (737712.488818473 4440193.04116942),1180,12000169,CENTRE PRIVAT LA SALLE,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",LA SALLE,CONCERTADO,R1200033G,HERMANOS DE LAS ESCUELAS CRISTIANAS,"PZ. LA SALLE, 1",12110,964360079,964386978,alcora@lasallevp.es,http://alcora.lasalle.es/,12005,l'Alcora,Alcora (L'),l'Alcalatén,Castelló/Castellón,40.078482,-0.212163,A,ALTA,N,2,CENTROS
POINT (733389.006007567 4412891.75511576),1181,12000194,CEIP CASTRO,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CASTRO,PÚBLICO,Q6255159C,GENERALITAT VALENCIANA,"CL. LA VALL D'UIXÓ, S/N",12609,964738310,0,12000194@edu.gva.es,0,12007,Alfondeguilla,Alfondeguilla,la Plana Baixa,Castelló/Castellón,39.83399,-0.272598,A,ALTA,S,2,CENTROS
POINT (750645.514516765 4426209.79551038),1182,12000212,CEIP RIU MILLARS,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,RIU MILLARS,PÚBLICO,Q6255007D,GENERALITAT VALENCIANA,"CL. SANTÍSSIM CRIST, 71",12550,964738315,0,12000212@edu.gva.es,https://portal.edu.gva.es/12000212,12009,Almassora,Almassora,la Plana Alta,Castelló/Castellón,39.948914,-0.066068,A,ALTA,S,2,CENTROS
POINT (750738.377406587 4426483.46677602),1183,12000224,CEIP BOQUERES,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,BOQUERES,PÚBLICO,Q6255008B,GENERALITAT VALENCIANA,"CL. CONSTITUCIÓ ESPANYOLA, 52",12550,964738320,0,12000224@edu.gva.es,https://portal.edu.gva.es/12000224,12009,Almassora,Almassora,la Plana Alta,Castelló/Castellón,39.951349,-0.064877,A,ALTA,S,2,CENTROS
POINT (750735.986532896 4425524.5125886),1184,12000236,CEIP CARDENAL CISNEROS,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CARDENAL CISNEROS,PÚBLICO,Q6255006F,GENERALITAT VALENCIANA,"AV. L'ESTRET, 1",12550,964738325,0,12000236@edu.gva.es,https://portal.edu.gva.es/12000236,12009,Almassora,Almassora,la Plana Alta,Castelló/Castellón,39.942721,-0.065274,A,ALTA,S,2,CENTROS
POINT (750712.635214624 4426595.0883032),1185,12000251,IES ÁLVARO FALOMIR,1042,INSTITUTO DE EDUCACIÓN SECUNDARIA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,ÁLVARO FALOMIR,PÚBLICO,Q6255161I,GENERALITAT VALENCIANA,"CL. BOQUERAS, 239",12550,964738925,0,12000251@edu.gva.es,https://portal.edu.gva.es/12000251,12009,Almassora,Almassora,la Plana Alta,Castelló/Castellón,39.952361,-0.065135,A,ALTA,S,2,CENTROS
POINT (750533.206438212 4425772.89586891),1186,12000261,EI 1er CICLE SAN JOSÉ,1686,ESCUELA INFANTIL DE PRIMER CICLO,ESCOLA INFANTIL DE PRIMER CICLE,SAN JOSÉ,PÚBLICO,Q6255077G,GENERALITAT VALENCIANA,"CL. SAN FELIPE, 10",12550,964738330,0,12000261@edu.gva.es,0,12009,Almassora,Almassora,la Plana Alta,Castelló/Castellón,39.945016,-0.067549,A,ALTA,S,2,CENTROS
POINT (721461.145696834 4416654.93256297),1187,12000273,COLEGIO EDUCACIÓN PRIMARIA,1012,COLEGIO DE EDUCACIÓN PRIMARIA,COL·LEGI D'EDUCACIÓ PRIMÀRIA,,PÚBLICO,Q6255267D,GENERALITAT VALENCIANA,"CL. DE LA DIPUTACIÓN, 1",12413,964137176,0,12000273@edu.gva.es,0,12010,Almedíjar,Almedíjar,El Alto Palancia,Castelló/Castellón,39.871054,-0.410577,L,AULARIO,N,2,CENTROS
POINT (737946.733962304 4404160.81710827),1188,12000285,CEIP JUAN CARLOS I,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JUAN CARLOS I,PÚBLICO,Q6255010H,GENERALITAT VALENCIANA,"CL. ISABEL LA CATÓLICA, 22",12590,962617240,0,12000285@edu.gva.es,https://portal.edu.gva.es/12000285,12011,Almenara,Almenara,la Plana Baixa,Castelló/Castellón,39.754152,-0.222559,A,ALTA,S,2,CENTROS
POINT (712282.33347092 4414367.91232289),1189,12000303,CEIP VIRGEN DE GRACIA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VIRGEN DE GRACIA,PÚBLICO,Q6255162G,GENERALITAT VALENCIANA,"CL. RIVAS, S/N",12410,964336340,0,12000303@edu.gva.es,0,12012,Altura,Altura,El Alto Palancia,Castelló/Castellón,39.852813,-0.518545,A,ALTA,S,2,CENTROS
POINT (734613.51865184 4419098.44447085),1190,12000352,CEIP CARME MARTIN,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CARME MARTIN,PÚBLICO,Q6255011F,GENERALITAT VALENCIANA,"PZ. DE LA GENERALITAT, S/N",12527,964738335,0,12000352@edu.gva.es,0,12016,Artana,Artana,la Plana Baixa,Castelló/Castellón,39.889511,-0.256078,A,ALTA,S,2,CENTROS
POINT (725261.832483635 4412486.52819932),1191,12000376,COLEGIO EDUCACIÓN INFANTIL Y PRIMARIA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,,PÚBLICO,Q6255140C,GENERALITAT VALENCIANA,"CL. DE CARLOS MARCO BELTRÁN, 4",12490,964650139,0,12000376@edu.gva.es,0,12018,Azuébar,Azuébar,El Alto Palancia,Castelló/Castellón,39.832536,-0.367616,L,AULARIO,N,2,CENTROS
POINT (696542.852577084 4432000.647501),1192,12000388,ANGELINA SANTOLARIA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,ANGELINA SANTOLARIA,PÚBLICO,Q6255141A,GENERALITAT VALENCIANA,"CL. VALENCIA, 4",12420,964121004,0,12000388@edu.gva.es,0,12020,Barracas,Barracas,El Alto Palancia,Castelló/Castellón,40.015343,-0.697068,L,AULARIO,N,2,CENTROS
POINT (739150.545498306 4423479.96527796),1193,12000391,CEIP CERVANTES-DUALDE,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CERVANTES-DUALDE,PÚBLICO,Q6255149D,GENERALITAT VALENCIANA,"CL. TRINITAT, S/N",12549,964738340,0,12000391@edu.gva.es,0,12021,Betxí,Betxí,la Plana Baixa,Castelló/Castellón,39.927674,-0.201469,A,ALTA,S,2,CENTROS
POINT (739089.670068836 4423827.86651796),1194,12000406,IES DE BETXÍ,1042,INSTITUTO DE EDUCACIÓN SECUNDARIA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,,PÚBLICO,Q6255150B,GENERALITAT VALENCIANA,"CM. SANT FRANCESC, 2",12549,964738930,0,12000406@edu.gva.es,https://portal.edu.gva.es/12000406,12021,Betxí,Betxí,la Plana Baixa,Castelló/Castellón,39.930822,-0.202053,A,ALTA,S,2,CENTROS
POINT (695986.546617971 4420261.9178775),1195,12000418,COLEGIO EDUCACIÓN INFANTIL Y PRIMARIA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,,PÚBLICO,Q6255142I,GENERALITAT VALENCIANA,"CL. LORETO, 12",12430,964120252,0,12000418@edu.gva.es,0,12022,Bejís,Bejís,El Alto Palancia,Castelló/Castellón,39.909793,-0.707116,L,AULARIO,N,2,CENTROS
POINT (742817.931377822 4473875.58918663),1196,12000431,CEIP ALCALDE FABREGAT,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,ALCALDE FABREGAT,PÚBLICO,Q6255013B,GENERALITAT VALENCIANA,"CL. SAN ISIDRO, 2-4",12160,964336125,0,12000431@edu.gva.es,0,12026,Benassal,Benassal,l'Alt Maestrat,Castelló/Castellón,40.38011,-0.139625,A,ALTA,S,2,CENTROS
POINT (790691.115347107 4479483.30194695),1197,12000455,CEIP MARQUÉS DE BENICARLÓ,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MARQUÉS DE BENICARLÓ,PÚBLICO,Q6255014J,GENERALITAT VALENCIANA,"PS. MARÍTIM, 1",12580,964336410,0,12000455@edu.gva.es,0,12027,Benicarló,Benicarló,el Baix Maestrat,Castelló/Castellón,40.415228,0.425999,A,ALTA,S,2,CENTROS
POINT (790402.017467129 4479672.79739217),1198,12000467,CENTRE PRIVAT LA SALLE,1045,CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA,CENTRE PRIVAT D'EDUCACIÓ SECUNDÀRIA,LA SALLE,CONCERTADO,R1200031A,HERMANOS DE LAS ESCUELAS CRISTIANAS,"CL. DOCTOR FERRER, 33",12580,964470066,964467035,benicarlo@lasallevp.es,http://benicarlo.lasalle.es/,12027,Benicarló,Benicarló,el Baix Maestrat,Castelló/Castellón,40.417033,0.422684,A,ALTA,N,2,CENTROS
POINT (790477.511406317 4480184.89714469),1199,12000479,CENTRE PRIV. ED. INFANTIL MAGDALA,1004,CENTRO PRIVADO DE EDUCACIÓN INFANTIL,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,MAGDALA,PRIVADO,B12694097,"MARÍA TERESA AÑO, SL","CL. SANTS MÀRTIRS, 27",12580,652481010,0,centremagdala@gmail.com,0,12027,Benicarló,Benicarló,el Baix Maestrat,Castelló/Castellón,40.421612,0.423806,A,ALTA,N,2,CENTROS
POINT (789720.493295137 4479112.32657316),1200,12000480,IES RAMÓN CID,1042,INSTITUTO DE EDUCACIÓN SECUNDARIA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,RAMÓN CID,PÚBLICO,Q6255145B,GENERALITAT VALENCIANA,"PG. POLÍGONO ESCOLAR, S/N",12580,964405620,0,12000480@edu.gva.es,https://portal.edu.gva.es/12000480,12027,Benicarló,Benicarló,el Baix Maestrat,Castelló/Castellón,40.41223,0.41441,A,ALTA,S,2,CENTROS
POINT (790837.413511334 4479942.22321993),1201,12000509,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,1015,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA,NUESTRA SEÑORA DE LA CONSOLACIÓN,CONCERTADO,R1200057F,RELIGIOSAS DE LA CONSOLACIÓN,"PZ. MADRE MOLAS, 1",12580,964471699,964475064,direccio.titular@consolacionbenicarlo.com,https://www.consolacionbenicarlo.com/es/,12027,Benicarló,Benicarló,el Baix Maestrat,Castelló/Castellón,40.419304,0.42793,A,ALTA,N,2,CENTROS
POINT (761067.983313408 4438711.73729322),1202,12000510,CEIP SANTA ÀGUEDA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SANTA ÀGUEDA,PÚBLICO,Q6255015G,GENERALITAT VALENCIANA,"CL. LA COMBA, S/N",12560,964738345,0,12000510@edu.gva.es,https://portal.edu.gva.es/12000510,12028,Benicàssim/Benicasim,Benicasim,la Plana Alta,Castelló/Castellón,40.058243,0.060795,A,ALTA,S,2,CENTROS
POINT (757430.876155516 4435759.23735475),1203,12000522,CENTRE PRIVAT LICEO,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",LICEO,CONCERTADO,F12038212,SOC. COOPERATIVA VALENCIANA LIMITADA COLEGIO LICEO,"CR. NACIONAL 340, KM. 74",12560,964398512,964398518,liceo.benicassim@liceobenicassim.com,http://www.liceobenicassim.com/,12028,Benicàssim/Benicasim,Benicasim,la Plana Alta,Castelló/Castellón,40.032797,0.017037,A,ALTA,N,2,CENTROS
POINT (757807.145228982 4455451.16873045),1204,12000546,VIRGEN DE LORETO,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VIRGEN DE LORETO,PÚBLICO,Q6255148F,GENERALITAT VALENCIANA,"CL. LIBERTAD, S/N",12181,964738820,0,12000546@edu.gva.es,0,12029,Benlloc,Benlloc,la Plana Alta,Castelló/Castellón,40.209851,0.029301,L,AULARIO,N,2,CENTROS
POINT (750047.243561207 4436540.5266327),1205,12000571,CEIP L'HEREU,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,L'HEREU,PÚBLICO,Q6255151J,GENERALITAT VALENCIANA,"CL. CONSTITUCIÓ, 2",12190,964738350,0,12000571@edu.gva.es,https://portal.edu.gva.es/12000571/,12031,Borriol,Borriol,la Plana Alta,Castelló/Castellón,40.042047,-0.069088,A,ALTA,S,2,CENTROS
POINT (749052.612222658 4420059.35368381),1206,12000613,CEIP PENYAGOLOSA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PENYAGOLOSA,PÚBLICO,Q6255096G,GENERALITAT VALENCIANA,"PS. SAN JUAN BOSCO, 13",12530,964738355,0,12000613@edu.gva.es,0,12032,Borriana/Burriana,Borriana,la Plana Baixa,Castelló/Castellón,39.894041,-0.087039,A,ALTA,S,2,CENTROS
POINT (748461.326955309 4419395.07297749),1207,12000625,CEIP FRANCESC ROCA I ALCAIDE,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,FRANCESC ROCA I ALCAIDE,PÚBLICO,Q6255152H,GENERALITAT VALENCIANA,"CL. THOMAS ALVA EDISON, 1",12530,964738360,0,12000625@edu.gva.es,https://portal.edu.gva.es/12000625,12032,Borriana/Burriana,Borriana,la Plana Baixa,Castelló/Castellón,39.888237,-0.094199,A,ALTA,S,2,CENTROS
POINT (749841.448497123 4419363.55276056),1208,12000649,CEIP PARE VILALLONGA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PARE VILALLONGA,PÚBLICO,Q6255086H,GENERALITAT VALENCIANA,"CL. ABEL MUS, 4",12530,964558490,0,12000649@edu.gva.es,0,12032,Borriana/Burriana,Borriana,la Plana Baixa,Castelló/Castellón,39.887548,-0.07809,A,ALTA,S,2,CENTROS
POINT (749161.96615657 4418731.11625324),1209,12000650,CEIP JOSEP ITURBI,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JOSEP ITURBI,PÚBLICO,Q6255017C,GENERALITAT VALENCIANA,"AV. JAUME I, S/N",12530,964738365,0,12000650@edu.gva.es,0,12032,Borriana/Burriana,Borriana,la Plana Baixa,Castelló/Castellón,39.882057,-0.086268,A,ALTA,S,2,CENTROS
POINT (749683.153498276 4419541.51979414),1210,12000662,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",NUESTRA SEÑORA DE LA CONSOLACIÓN,CONCERTADO,R1200062F,RELIGIOSAS DE LA CONSOLACIÓN,"CL. SANTA MARÍA ROSA MOLAS, 28",12530,964510293,964511085,secretaria@consolacionburriana.com,http://www.consolacionburriana.com/wp/,12032,Borriana/Burriana,Borriana,la Plana Baixa,Castelló/Castellón,39.889196,-0.079871,A,ALTA,N,2,CENTROS
POINT (749167.105741416 4420086.87346184),1211,12000686,CENTRE PRIVAT VILLA FÁTIMA,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",VILLA FÁTIMA,CONCERTADO,B12713418,"GESTIÓN DE CENTROS CATÓLICOS DE ENSEÑANZA, SL","PS. SAN JUAN BOSCO, 21",12530,964512518,964512518,villafatima@centroscatolicos.org,http://centroscatolicos.org/,12032,Borriana/Burriana,Borriana,la Plana Baixa,Castelló/Castellón,39.894255,-0.085691,A,ALTA,N,2,CENTROS
POINT (748941.713403549 4419929.48927009),1212,12000698,CENTRE PRIVAT SALESIANOS SAN JUAN BAUTISTA,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SALESIANOS SAN JUAN BAUTISTA,CONCERTADO,R1200042H,PADRES SALESIANOS,"PS. SAN JUAN BOSCO, 5",12530,964510250,964571423,burriana@salesianos.edu,http://www.salesianos.edu/burriana/,12032,Borriana/Burriana,Borriana,la Plana Baixa,Castelló/Castellón,39.892905,-0.088384,A,ALTA,N,2,CENTROS
POINT (748867.956522893 4418762.64516863),1213,12000704,IES JAUME I,1042,INSTITUTO DE EDUCACIÓN SECUNDARIA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,JAUME I,PÚBLICO,Q6255153F,GENERALITAT VALENCIANA,"CM. LLOMBAI, 21",12530,964738935,0,12000704@edu.gva.es,https://portal.edu.gva.es/12000704,12032,Borriana/Burriana,Borriana,la Plana Baixa,Castelló/Castellón,39.882427,-0.08969,A,ALTA,S,2,CENTROS
